Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,00:00 - 00:30,Sunday,0.03,0.05,0.03,0.02,0.03,"4,675","46,750",Post Prime
EXPRESS ENT,00:00 - 00:30,Monday,0.04,0.06,0.05,0.03,0.05,"4,675","38,958",Post Prime
EXPRESS ENT,00:00 - 00:30,Tuesday,0.02,0.02,0.02,0.02,0.02,"4,675","116,875",Post Prime
EXPRESS ENT,00:00 - 00:30,Wednesday,0.01,0.04,0.01,0,0.02,"4,675","58,438",Post Prime
EXPRESS ENT,00:00 - 00:30,Thursday,0.04,0.06,0.04,0.03,0.05,"4,675","38,958",Post Prime
EXPRESS ENT,00:00 - 00:30,Friday,0.03,0.08,0.04,0.03,0.04,"4,675","29,219",Post Prime
EXPRESS ENT,00:00 - 00:30,Saturday,0.03,0.07,0.04,0.02,0.05,"4,675","33,393",Post Prime
EXPRESS ENT,00:30 - 01:00,Sunday,0.02,0.01,0.02,0.02,0.01,"4,675","233,750",Post Prime
EXPRESS ENT,00:30 - 01:00,Monday,0.01,0,0.01,0.01,0.01,"4,675",0,Post Prime
EXPRESS ENT,00:30 - 01:00,Tuesday,0,0.01,0.01,0.01,0,"4,675","233,750",Post Prime
EXPRESS ENT,00:30 - 01:00,Wednesday,0,0.01,0,0,0,"4,675","233,750",Post Prime
EXPRESS ENT,00:30 - 01:00,Thursday,0.03,0.02,0.02,0.02,0.03,"4,675","116,875",Post Prime
EXPRESS ENT,00:30 - 01:00,Friday,0.01,0,0.01,0.01,0.02,"4,675",0,Post Prime
EXPRESS ENT,00:30 - 01:00,Saturday,0.03,0.08,0.03,0.02,0.04,"4,675","29,219",Post Prime
EXPRESS ENT,01:00 - 01:30,Sunday,0.02,0.03,0.02,0.02,0.01,"2,125","35,417",Late Night
EXPRESS ENT,01:00 - 01:30,Monday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,01:00 - 01:30,Tuesday,0,0.01,0,0,0,"2,125","106,250",Late Night
EXPRESS ENT,01:00 - 01:30,Wednesday,0,0,0,0,0,"2,125",0,Late Night
EXPRESS ENT,01:00 - 01:30,Thursday,0.02,0.02,0.03,0.03,0.01,"2,125","53,125",Late Night
EXPRESS ENT,01:00 - 01:30,Friday,0.02,0.02,0.02,0.02,0.02,"2,125","53,125",Late Night
EXPRESS ENT,01:00 - 01:30,Saturday,0.01,0.04,0.01,0.01,0.01,"2,125","26,563",Late Night
